(5.035579, 0.135477, 'Accepted'),
(6.492671, 0.835009, 'Rejected'),
(-5.968211, 0.968868, 'Rejected'),
(6.614014, 0.221034, 'Rejected'),
(2.117748, 0.308167, 'Accepted'),
(-6.439354, 0.547221, 'Rejected'),
(-3.544029, 0.188382, 'Accepted'),
(0.750104, 0.992881, 'Rejected'),
(7.320109, 0.996461, 'Rejected'),
(7.438217, 0.967695, 'Rejected'),
(-5.478191, 0.725839, 'Rejected'),
(7.529484, 0.981110, 'Rejected'),
(7.314671, 0.109862, 'Rejected'),
(-0.233990, 0.798106, 'Accepted'),
(4.804488, 0.297029, 'Rejected'),
(-5.729818, 0.004783, 'Accepted'),
(-1.251819, 0.112465, 'Accepted'),
(6.651768, 0.639763, 'Rejected'),
(4.675317, 0.878431, 'Rejected'),
(7.351879, 0.503663, 'Rejected'),
(2.491851, 0.797929, 'Rejected'),
(-7.428613, 0.361294, 'Rejected'),
(5.586069, 0.211924, 'Rejected'),
(6.943892, 0.681360, 'Rejected'),
(2.859763, 0.398739, 'Accepted'),
(4.123842, 0.740647, 'Rejected'),
(3.890120, 0.474759, 'Rejected'),
(-1.724368, 0.422088, 'Accepted'),
(2.487646, 0.173865, 'Accepted'),
(-5.261013, 0.301913, 'Rejected'),
(3.296737, 0.797280, 'Rejected'),
(-7.490674, 0.316550, 'Rejected'),
(-3.569232, 0.872429, 'Rejected'),
(-7.261258, 0.149114, 'Rejected'),
(-6.445892, 0.994068, 'Rejected'),
(5.175325, 0.821903, 'Rejected'),
(3.117258, 0.125183, 'Accepted'),
(-2.926408, 0.763750, 'Rejected'),
(7.203553, 0.490589, 'Rejected'),
(-7.448863, 0.663606, 'Rejected'),
(-0.980090, 0.125897, 'Accepted'),
(-1.895065, 0.210209, 'Accepted'),
(4.248269, 0.051216, 'Accepted'),
(4.723198, 0.036441, 'Accepted'),
(-5.010038, 0.408731, 'Rejected'),
(-0.163770, 0.457989, 'Accepted'),
(-0.870621, 0.487569, 'Accepted'),
(2.341008, 0.793975, 'Rejected'),
(3.349837, 0.920875, 'Rejected'),
(4.074987, 0.807531, 'Rejected'),
(-3.583599, 0.705774, 'Rejected'),
(2.875243, 0.002818, 'Accepted'),
(2.481568, 0.710704, 'Rejected'),
(-5.398212, 0.643961, 'Rejected'),
(-6.096037, 0.456033, 'Rejected'),
(-0.026175, 0.773917, 'Accepted'),
(7.355903, 0.573755, 'Rejected'),
(-2.553828, 0.876757, 'Rejected'),
(1.364284, 0.808175, 'Accepted'),
